2026-01-17 10:36:37,940 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:36:39,903 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:03,219 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-17 10:37:03,322 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:13,108 - INFO - Phone migrated to 4
2026-01-17 10:37:13,234 - INFO - Reconnecting to new data center 4
2026-01-17 10:37:13,392 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-17 10:37:13,393 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-17 10:37:13,393 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-17 10:37:14,790 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-17 10:38:14,657 - INFO - Starting scrape for channel: lobelia4cosmetics
2026-01-17 10:39:57,636 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:57,819 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:57,944 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:58,151 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:58,339 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:58,715 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:58,968 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:59,199 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:59,384 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:59,606 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:39:59,961 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:40:00,085 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-17 10:40:00,254 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
